Solution Name,Remote Testing,Adaptive/IRT,Test Type,PDF Paths
Global Skills Development Report,Yes,No,A E B C D P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Global_Skills_Development_Report_International_English.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Global_Skills_Development_Report_with_Reskilling_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Global_Skills_Development_Report_US_English.pdf
.NET Framework 4.5,Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet-dotnet_framework_4.5.pdf
.NET MVC (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_MVC_(New).pdf
.NET MVVM (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_MVVM_(New).pdf
.NET WCF (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_WCF_(New).pdf
.NET WPF (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_WPF_(New).pdf
.NET XAML (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_XAML_(New).pdf
Accounts Payable (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_(New)_Sample_Report.pdf
Accounts Payable Simulation (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_Simulation_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Payable_Simulation_(New)_Sample_Report.pdf
Accounts Receivable (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_(New)_Sample_Report.pdf
Accounts Receivable Simulation (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_Simulation_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Accounts_Receivable_Simulation_(New)_Sample_Report.pdf
ADO.NET (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ADO.NET_(New).pdf
Adobe Experience Manager (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Adobe_Experience_Manager_(New).pdf
Adobe Photoshop CC,Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet-adobe_photoshop_cc.pdf
Aeronautical Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Aeronautical_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Aeronautical_Engineering_(New)_Sample_Report.pdf
Aerospace Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Aerospace_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Aerospace_Engineering_(New)_Sample_Report.pdf
Agile Software Development,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/sample_report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Agile_Software_Development_Factsheet.pdf
Agile Testing (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Agile_Testing_(New).pdf
AI Skills,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Candidate_sample.candidate@shl931.com_AISkillsCandidateReport_1572760.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Candidate_sample.candidate@shl931.com_AISkillsRecruiterReport_1572760.pdf
Amazon Web Services (AWS) Development (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Amazon_Web_Services_(AWS)_Development_(New).pdf
Android Development (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Android_Development_(New).pdf
Angular 6 (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Angular_6_(New).pdf
AngularJS (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/AngularJS_(New).pdf
Apache Hadoop (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Hadoop_(New).pdf
Apache Hadoop Extensions (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Hadoop_Extensions_(New).pdf
Apache HBase (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_HBase_(New).pdf
Apache Hive (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Hive_(New).pdf
Apache Kafka (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Kafka_(New).pdf
Apache Pig (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Pig_(New).pdf
Apache Spark (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Apache_Spark_(New).pdf
ASP .NET with C# (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ASP.NET_with_C_Sharp_(New).pdf
ASP.NET 4.5,Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet-asp.net_4.5.pdf
Assessment and Development Center Exercises,Yes,No,E,N/A
Automata - Fix (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Fix.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Fix_Sample_Report.pdf
Automata - SQL (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_-_SQL.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_SQL_Sample_Report.pdf
Automata (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Sample_Detailed_Report.pdf
Automata Data Science (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science_Sample_Report.pdf
Automata Data Science Pro (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science_Pro.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Data_Science_Pro_Sample_Report.pdf
Automata Front End,Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Frontend.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Front_End_Sample_Detailed_Report.pdf
Automata Pro (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Pro.pdf
Automata Selenium,Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Selenium_(1)_(1).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automata_Selenium_Sample_Report.pdf
Automation Anywhere RPA Development (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automation_Anywhere_RPA_Development_(New).pdf
Automotive Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Automotive_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Automotive_Engineering_(New)_Sample_Report.pdf
Basic Biology (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Basic_Biology_(New).pdf
Basic Computer Literacy (Windows 10) (New),Yes,No,S K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Basic_Computer_Literacy_(Windows_10).pdf
Basic Statistics (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Basic_Statistics_(New).pdf
Biochemistry (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Biochemistry_(New).pdf
Biotech Lab Techniques (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Biotech_Lab_Techniques_(New).pdf
BizTalk (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/BizTalk_(New).pdf
Business Communication (adaptive),Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Business_Communication_(adaptive).pdf
Business Communications,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Business_Communications.pdf
C Programming (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/C_Programming_(New).pdf
C# Programming (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Csharp_Programming_(New).pdf
C++ Programming (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/C++_Programming_(New).pdf
Cardiology and Diabetes Management (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Cardiology_and_Diabetes_Management_(New).pdf
Ceramic Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Ceramic_Engineering_(New).pdf
Chemical Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Chemical_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Chemical_Engineering_(New)_Sample_Report.pdf
Cisco AppDynamics (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Cisco_AppDynamics_(New).pdf
Civil Engineering (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Civil_Engineering_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Civil_Engineering_(New)_Sample_Report.pdf
Cloud Computing (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Cloud_Computing_(New).pdf
COBOL Programming (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/COBOL_Programming_(New).pdf
Computer Science (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Computer_Science_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_Computer_Science_(New)_Sample_Report.pdf
Contact Center Call Simulation (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Contact_Center_Call_Simulation_(New).pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SampleReport_ContactCenterCallSimulation_20302142.pdf
Conversational Multichat Simulation,Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Conversational_Multichat_Simulation_Product_Fact_Sheet.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Conversational_Multichat_Simulation_Report_US_English.pdf
Core Java (Advanced Level) (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Core_Java_(Advanced_Level)_(New).pdf
Core Java (Entry Level) (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Core_Java_(Entry_Level)_(New).pdf
Count Out The Money,Yes,Yes,K S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Count_out_the_Money_-_UK.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Count_out_the_Money_-_US.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Count_out_the_Money_-_AUS.pdf
CSS3 (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CSS3_(New).pdf
Culinary Skills (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Culinary_Skills_(New).pdf
Customer Service Phone Simulation,Yes,No,B S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CustomerServicePhoneSimulation_DetailedReport_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CustomerServicePhoneSimulation_DevelopmentReport_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CustomerServicePhoneSimulation_InterviewReport_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report-_Customer_Service_Phone_Simulation-_Detailed_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report-_Customer_Service_Phone_Simulation-_Development_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report-_Customer_Service_Phone_Simulation-_Interview_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Customer_Service_Phone_Simulation_Fact_Sheet.pdf
Customer Service Phone Solution,Yes,No,B P S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CustomerServicePhoneSolution_DetailedReport_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CustomerServicePhoneSolution_DevelopmentReport_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CustomerServicePhoneSolution_InterviewReport_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Candidate_DevelopmentReport_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Customer_Service_Phone_solution_Detailed_Report_-_Sample_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Customer_Service_Phone_solution_Interview_Report_-_Sample_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/CCSims_Phone_Agent_Product_Fact_Sheet.pdf
Cyber Risk (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Cyber_Risk_(New).pdf
Data Entry (New),Yes,No,S,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Data_Entry_(New).pdf
Data Entry Alphanumeric Split Screen - US,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Data_Entry_Alphanumeric_Split_Screen.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Data_Entry_Alphanumeric_Split_Screen_Sample_Report.pdf
Data Entry Numeric Split Screen - US,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Data_Entry_Numeric_Split_Screen.pdf
Data Entry Ten Key Split Screen,Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Data_Entry_Ten_Key_Split_Screen.pdf
Data Science (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Data_Science_(New).pdf
Data Warehousing Concepts,Yes,Yes,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_Data_Warehousing_Concepts.pdf
Dependability and Safety Instrument (DSI),Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/DSI_Fact_Sheet.pdf
Dermatology (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Dermatology_(New).pdf
Desktop Support (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Desktop_Support_(New).pdf
Digital Advertising (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Digital_Advertising_(New).pdf
Digital Readiness Development Report - IC,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report_Digital_readiness_DR_-_Individual_Contributor_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report_Digital_readiness_DR_-_Individual_Contributor_LAS.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report_Digital_readiness_DR_-_Individual_Contributor_USE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Digital_Readiness_Development_report(Individual_Contributor)_PTBR.pdf
Digital Readiness Development Report - Manager,Yes,No,P,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report_Digital_readiness_DR_-_Manager_UKE.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report_Digital_readiness_DR_-_Manager_LAS.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Report_Digital_readiness_DR_-_Manager_USE.pdf
Docker (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Docker_(New).pdf
Dojo (New),Yes,No,K,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Dojo_(New).pdf
