Solution Name,Detail URL
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/
