Solution Name,Description,Job Levels,Languages,Assessment Length
Global Skills Development Report,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor",N/A,N/A
.NET Framework 4.5,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security","Professional Individual Contributor, Mid-Professional",English (USA),30
.NET MVC (New),"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas","Mid-Professional, Professional Individual Contributor",English (USA),17
.NET MVVM (New),"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start","Mid-Professional, Professional Individual Contributor",English (USA),5
.NET WCF (New),"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF","Mid-Professional, Professional Individual Contributor",English (USA),11
.NET WPF (New),"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications","Mid-Professional, Professional Individual Contributor",English (USA),9
.NET XAML (New),"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts","Mid-Professional, Professional Individual Contributor",English (USA),5
Accounts Payable (New),"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),9
Accounts Payable Simulation (New),Simulated data entry test that measures the ability to process payables and vendor invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
Accounts Receivable (New),Multiple-choice test that measures the knowledge of processing receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),13
Accounts Receivable Simulation (New),Simulated data entry test that measures the ability to process receivables and invoices,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor",English (USA),8
ADO.NET (New),"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects","Mid-Professional, Professional Individual Contributor",English (USA),10
Adobe Experience Manager (New),"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects","Mid-Professional, Professional Individual Contributor",English (USA),17
Adobe Photoshop CC,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web","Mid-Professional, Professional Individual Contributor",English (USA),20
Aeronautical Engineering (New),"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10
Aerospace Engineering (New),"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10
Agile Software Development,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development",Graduate,English (USA),7
Agile Testing (New),"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology","Mid-Professional, Professional Individual Contributor",English (USA),13
AI Skills,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work,General Population,English (USA),16
Amazon Web Services (AWS) Development (New),"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability","Mid-Professional, Professional Individual Contributor",English (USA),6
Android Development (New),"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing","Mid-Professional, Professional Individual Contributor",English (USA),7
Angular 6 (New),"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation","Mid-Professional, Professional Individual Contributor",English (USA),11
AngularJS (New),"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing","Mid-Professional, Professional Individual Contributor",English (USA),9
Apache Hadoop (New),"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce","Mid-Professional, Professional Individual Contributor",English (USA),7
Apache Hadoop Extensions (New),"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase","Mid-Professional, Professional Individual Contributor",English (USA),9
Apache HBase (New),"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration","Mid-Professional, Professional Individual Contributor",English (USA),5
Apache Hive (New),"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language","Mid-Professional, Professional Individual Contributor",English (USA),5
Apache Kafka (New),"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations","Mid-Professional, Professional Individual Contributor",English (USA),6
Apache Pig (New),"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin","Mid-Professional, Professional Individual Contributor",English (USA),6
Apache Spark (New),"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation","Mid-Professional, Professional Individual Contributor",English (USA),8
