Solution Name,Description,Job Levels,Languages,Assessment Length,Remote Testing,Adaptive/IRT,Test Type,Detail URL,PDF Paths
.NET Framework 4.5,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security","Professional Individual Contributor, Mid-Professional",English (USA),30,Yes,Yes,K,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet-dotnet_framework_4.5.pdf
.NET MVC (New),"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas","Mid-Professional, Professional Individual Contributor",English (USA),17,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_MVC_(New).pdf
.NET MVVM (New),"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start","Mid-Professional, Professional Individual Contributor",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_MVVM_(New).pdf
.NET WCF (New),"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF","Mid-Professional, Professional Individual Contributor",English (USA),11,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_WCF_(New).pdf
.NET WPF (New),"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications","Mid-Professional, Professional Individual Contributor",English (USA),9,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_WPF_(New).pdf
.NET XAML (New),"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts","Mid-Professional, Professional Individual Contributor",English (USA),5,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/NET_XAML_(New).pdf
360 Digital Report,"Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. With a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. Users can now enjoy a visually engaging experience, with the capability to download the report in PDF format for offline access. Upgrade your reporting experience today with SHL's innovative 360 Digital Report!","Director, Manager, Entry-Level, Executive, Front Line Manager, General Population, Graduate",N/A,N/A,Yes,No,D,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_360_Participant_Digital_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_360_Manager_Digital_Report.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_360_Participant_Digital_Report_with_OPQ.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_360_Participant_Digital_Report_Enterprise_Leadership_with_OPQ_High.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/SHL_360_Participant_Digital_Report_Enterprise_Leadership_with_OPQ_Low.pdf
360° Multi-Rater Feedback System (MFS),"SHL 360, or the Multi-Rater Feedback System (‘MFS’), provides a holistic 360-degree view of an employee by gathering feedback from the employee’s manager, peers, direct reports, and/or other raters.  By offering a wide range of perspectives, 360 feedback gives employees a more thorough understanding of not only their strengths, weaknesses, and development opportunities, but also their impact on others.  360-degree multi-rater assessments are based on SHL’s Universal Competency Framework (“UCF”), using our proven library of research-driven competencies to provide opportunities for managers, peers, and direct reports to supply useful developmental feedback that they may not otherwise share.  SHL can also offer support and training throughout the entire process, from defining objectives through interpreting and delivering the feedback.  360 feedback serves all levels and industries and is a positive and powerful addition to your performance management system","Director, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Latin American Spanish, Romanian, French (Canada), Czech, Hungarian, Indonesian, Turkish, Serbian, Portuguese (Brazil), Chinese Traditional, Slovak, Thai, English International, Dutch, French, German, Italian, Portuguese, Spanish, Danish, Finnish, Norwegian, Swedish, English (USA), Russian, Chinese Simplified, Icelandic, Polish, Japanese, Korean",Approximate Completion Time in minutes = Untimed,Yes,No,D P,https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_Simplified_Chinese.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_Danish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_Dutch.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_Finnish.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_French.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_German.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_Italian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_Norwegian.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Fact_Sheet_360_MFS_-_Swedish.pdf
ADO.NET (New),"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects","Mid-Professional, Professional Individual Contributor",English (USA),10,Yes,No,K,https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/ADO.NET_(New).pdf
AI Skills,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work,General Population,English (USA),16,Yes,No,P,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,/Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Candidate_sample.candidate@shl931.com_AISkillsCandidateReport_1572760.pdf; /Users/karthikyadav/Desktop/realtimeProjects/SHL/pdfs_individual/Sample_Candidate_sample.candidate@shl931.com_AISkillsRecruiterReport_1572760.pdf
